CAS NUMBER,FLOW,METHOD CODE,TRIFID,UNIT OF MEASURE,PRIMARY NAICS CODE,WASTE STREAM CODE,RANGE INFLUENT CONCENTRATION,TYPE OF MANAGEMENT,EFFICIENCY ESTIMATION,WASTE FLOW RANGE,MIDDLE WASTE FLOW,MIDDLE WASTE FLOW INTERVAL,MIDDLE WASTE FLOW INTERVAL CODE
7664382,4414.357344,C11,27260THMSB1408C,kg,336211,W,3,Treatment,100.0,"(44143573.44, 4414357344.0)",2229250458.72,"(1000000000.0, 91944262261.885]",10
7440508,131.54168,A06,53142GLBLN70193,kg,339992,A,2,Treatment,99.0,"(13287.038383838384, 1328703.8383838383)",670995.4383838384,"(316227.766, 1000000.0]",3
108883,68038.8,F99,45042MMPCK1701R,kg,323111,A,2,Treatment,95.2,"(7146932.773109243, 714693277.3109243)",360920105.04201674,"(316227766.017, 1000000000.0]",9
7647010,5443104.0,C11,98225GRGPC300WL,kg,322121,W,2,Treatment,100.0,"(544310400.0, 54431040000.0)",27487675200.0,"(1000000000.0, 91944262261.885]",10
7697372,13651.758424,C11,67213RCPTL1702S,kg,332813,W,2,Treatment,100.0,"(1365175.8424, 136517584.23999998)",68941380.0412,"(31622776.602, 100000000.0]",7
7664382,9906.44928,C11,54301PCKRL1330L,kg,311611,W,3,Treatment,100.0,"(99064492.80000001, 9906449280.0)",5002756886.4,"(1000000000.0, 91944262261.885]",10
71556,50691.627552,R11,01085WSTFLSOUTH,kg,332710,L,1,Recycling,98.279,"(51579.30743292056, 5157930.743292056)",2604755.0253624883,"(1000000.0, 3162277.66]",4
67641,5859.955048,R11,32703MRNMF185EA,kg,326121,L,1,Recycling,35.484,"(16514.35871942284, 1651435.8719422838)",833975.1153308534,"(316227.766, 1000000.0]",3
N450,181.4368,R99,61341MRSLL1401B,kg,327331,W,4,Recycling,98.7654,"(183704819.7040664, 183704819704.0664)",91944262261.88524,"(1000000000.0, 91944262261.885]",10
108883,58966.96,R11,45042MMPCK1701R,kg,323111,L,1,Recycling,94.3396,"(62504.99260119823, 6250499.260119823)",3156502.1263605105,"(1000000.0, 3162277.66]",4
N982,1762.20492,R99,44430DNMNT400DI,kg,326211,W,3,Recycling,91.6922,"(19218700.391091064, 1921870039.1091063)",970544369.7500987,"(316227766.017, 1000000000.0]",9
N040,54.43104,R99,61341MRSLL1401B,kg,327331,W,4,Recycling,96.0,"(56699000.0, 56699000000.00001)",28377849500.000004,"(1000000000.0, 91944262261.885]",10
108883,2766.9112,R11,43351MLLSC11500,kg,327390,L,1,Recycling,96.9793,"(2853.094629472475, 285309.4629472475)",144081.27878835998,"(100000.0, 316227.766]",2
N982,435.44832,R99,08619MRCNB1945E,kg,326192,W,3,Recycling,91.6922,"(4749022.490462657, 474902249.0462657)",239825635.7683642,"(100000000.0, 316227766.017]",8
78933,861.8248,U01,31732GRTSTHIGHW,kg,322130,S,1,Energy recovery,99.5,"(866.1555778894472, 86615.55778894472)",43740.85668341708,"(39366.771, 100000.0]",1
